ts,temp_c,label
1700000000,26.034,off_person
1700000001,26.472,off_person
1700000002,26.015,off_person
1700000003,26.411,off_person
1700000004,26.781,off_person
1700000005,26.232,off_person
1700000006,26.779,off_person
1700000007,26.509,off_person
1700000008,26.707,off_person
1700000009,26.016,off_person
1700000010,26.589,off_person
1700000011,26.413,off_person
1700000012,26.483,off_person
1700000013,26.302,off_person
1700000014,26.782,off_person
1700000015,26.524,off_person
1700000016,26.580,off_person
1700000017,26.547,off_person
1700000018,26.437,off_person
1700000019,26.651,off_person
1700000020,26.493,off_person
1700000021,26.452,off_person
1700000022,26.112,off_person
1700000023,26.445,off_person
1700000024,26.124,off_person
1700000025,26.469,off_person
1700000026,26.341,off_person
1700000027,26.610,off_person
1700000028,26.472,off_person
1700000029,26.292,off_person
1700000030,26.415,off_person
1700000031,26.176,off_person
1700000032,26.785,off_person
1700000033,26.684,off_person
1700000034,26.316,off_person
1700000035,26.174,off_person
1700000036,26.357,off_person
1700000037,26.511,off_person
1700000038,26.357,off_person
1700000039,26.753,off_person
1700000040,26.041,off_person
1700000041,26.273,off_person
1700000042,26.413,off_person
1700000043,26.036,off_person
1700000044,26.373,off_person
1700000045,26.458,off_person
1700000046,26.243,off_person
1700000047,26.795,off_person
1700000048,26.279,off_person
1700000049,26.294,off_person
1700000050,26.476,off_person
1700000051,26.212,off_person
1700000052,26.377,off_person
1700000053,26.125,off_person
1700000054,26.045,off_person
1700000055,26.548,off_person
1700000056,26.223,off_person
1700000057,26.129,off_person
1700000058,26.206,off_person
1700000059,26.333,off_person
1700000060,26.117,off_person
1700000061,26.556,off_person
1700000062,26.578,off_person
1700000063,26.776,off_person
1700000064,26.034,off_person
1700000065,26.252,off_person
1700000066,26.538,off_person
1700000067,26.676,off_person
1700000068,26.198,off_person
1700000069,26.693,off_person
1700000070,26.034,off_person
1700000071,26.438,off_person
1700000072,26.019,off_person
1700000073,26.127,off_person
1700000074,26.572,off_person
1700000075,26.357,off_person
1700000076,26.728,off_person
1700000077,26.751,off_person
1700000078,26.357,off_person
1700000079,26.426,off_person
1700000080,26.303,off_person
1700000081,26.133,off_person
1700000082,26.335,off_person
1700000083,26.638,off_person
1700000084,26.329,off_person
1700000085,26.643,off_person
1700000086,26.108,off_person
1700000087,26.086,off_person
1700000088,26.784,off_person
1700000089,26.186,off_person
1700000090,26.114,off_person
1700000091,26.709,off_person
1700000092,26.604,off_person
1700000093,26.705,off_person
1700000094,26.691,off_person
1700000095,26.097,off_person
1700000096,26.460,off_person
1700000097,26.514,off_person
1700000098,26.212,off_person
1700000099,26.484,off_person
1700000100,26.283,off_person
1700000101,26.256,off_person
1700000102,26.316,off_person
1700000103,26.443,off_person
1700000104,26.147,off_person
1700000105,26.590,off_person
1700000106,26.295,off_person
1700000107,26.318,off_person
1700000108,26.333,off_person
1700000109,26.453,off_person
1700000110,26.771,off_person
1700000111,26.709,off_person
1700000112,26.415,off_person
1700000113,26.098,off_person
1700000114,26.060,off_person
1700000115,26.679,off_person
1700000116,26.008,off_person
1700000117,26.216,off_person
1700000118,26.407,off_person
1700000119,26.005,off_person
1700000120,26.511,off_person
1700000121,26.711,off_person
1700000122,26.531,off_person
1700000123,26.562,off_person
1700000124,26.583,off_person
1700000125,26.506,off_person
1700000126,26.009,off_person
1700000127,26.027,off_person
1700000128,26.607,off_person
1700000129,26.608,off_person
1700000130,26.662,off_person
1700000131,26.586,off_person
1700000132,26.189,off_person
1700000133,26.018,off_person
1700000134,26.441,off_person
1700000135,26.034,off_person
1700000136,26.531,off_person
1700000137,26.247,off_person
1700000138,26.553,off_person
1700000139,26.599,off_person
1700000140,26.755,off_person
1700000141,26.414,off_person
1700000142,26.383,off_person
1700000143,26.144,off_person
1700000144,26.202,off_person
1700000145,26.037,off_person
1700000146,26.773,off_person
1700000147,26.119,off_person
1700000148,26.603,off_person
1700000149,26.015,off_person
1700000150,26.369,off_person
1700000151,26.149,off_person
1700000152,26.605,off_person
1700000153,26.097,off_person
1700000154,26.609,off_person
1700000155,26.641,off_person
1700000156,26.438,off_person
1700000157,26.431,off_person
1700000158,26.355,off_person
1700000159,26.557,off_person
1700000160,26.357,off_person
1700000161,26.698,off_person
1700000162,26.145,off_person
1700000163,26.094,off_person
1700000164,26.472,off_person
1700000165,26.152,off_person
1700000166,26.156,off_person
1700000167,26.503,off_person
1700000168,26.783,off_person
1700000169,26.110,off_person
1700000170,26.212,off_person
1700000171,26.198,off_person
1700000172,26.276,off_person
1700000173,26.511,off_person
1700000174,26.435,off_person
1700000175,26.178,off_person
1700000176,26.728,off_person
1700000177,26.142,off_person
1700000178,26.255,off_person
1700000179,26.701,off_person
1700000180,26.595,off_person
1700000181,26.551,off_person
1700000182,26.183,off_person
1700000183,26.174,off_person
1700000184,26.549,off_person
1700000185,26.232,off_person
1700000186,26.165,off_person
1700000187,26.422,off_person
1700000188,26.393,off_person
1700000189,26.308,off_person
1700000190,26.701,off_person
1700000191,26.233,off_person
1700000192,26.768,off_person
1700000193,26.284,off_person
1700000194,26.018,off_person
1700000195,26.306,off_person
1700000196,26.203,off_person
1700000197,26.086,off_person
1700000198,26.265,off_person
1700000199,26.319,off_person
1700000200,26.206,off_person
1700000201,26.569,off_person
1700000202,26.789,off_person
1700000203,26.081,off_person
1700000204,26.114,off_person
1700000205,26.268,off_person
1700000206,26.690,off_person
1700000207,26.276,off_person
1700000208,26.589,off_person
1700000209,26.234,off_person
1700000210,26.171,off_person
1700000211,26.054,off_person
1700000212,26.093,off_person
1700000213,26.387,off_person
1700000214,26.548,off_person
1700000215,26.560,off_person
1700000216,26.103,off_person
1700000217,26.185,off_person
1700000218,26.585,off_person
1700000219,26.676,off_person
1700000220,26.502,off_person
1700000221,26.178,off_person
1700000222,26.591,off_person
1700000223,26.757,off_person
1700000224,26.031,off_person
1700000225,26.475,off_person
1700000226,26.139,off_person
